user_id,video_id,time_watched
10001,iMaNOSsWBpA,10/22/21 09:14:08
10002,YPZUkzgW_DQ,12/21/11 05:58:00
10001,ex_sBZXU6iU,11/24/21 18:28:20
10004,fUyU3lKzoio,12/14/21 11:17:33
10005,fUyU3lKzoio,6/30/21 15:58:19
10006,72hlr-E7KA0,3/14/21 01:13:48
10002,Jz50eTT6y8g,05/21/02 09:51:00
10003,ITQZ2OrIBNk,6/29/21 19:31:24
10004,Mej6I6AWOhk,2/26/21 09:13:03
10005,w-2cd1MLYAw,10/21/11 03:33:00
10006,hMXMACGyeq4,05/21/05 01:49:00
10002,R9ZEdacTIa0,11/18/21 20:48:35
10003,2fFMeWn0a8o,7/29/21 20:09:26
10004,kBbKITdm3Lk,6/14/21 20:55:44
10005,IA9132y01JI,10/19/21 14:25:28
10006,o2_OS8yq3qs,1/15/21 16:49:40
10002,ufynqs_COF4,08/21/09 00:55:00
10003,xHljr_VuTJQ,6/22/21 06:44:15
10004,oobBudrItH0,6/20/21 03:32:14
10005,8Od-IMIGjfg,12/21/01 22:50:00
10006,GoJA8kpeIq8,11/21/01 18:23:00
10002,rxO8QZAdkCY,03/21/01 01:05:00
10003,6WIQPLl82ik,11/21/08 03:32:00
10004,_IiCh41jLnU,7/27/21 08:51:32
10005,eS4rlDJ1aVQ,3/31/21 01:44:14
10006,7pbyoNwmcpc,10/19/21 00:21:47
10002,Ehke7aPI9l0,11/21/10 18:21:00
10003,KCnKJbNSibA,3/17/21 06:11:17
10004,SRtDMiHEljk,3/14/21 17:22:14
10005,iK7ROzfOW8k,7/24/21 06:28:06
10006,GsGSOnAuTag,10/17/21 12:09:53
10002,jzD_yyEcp0M,10/29/21 23:14:58
10003,3o_s7qNvt2U,1/16/21 07:59:32
10004,k_3rgt-h328,6/20/21 14:41:41
10005,p0XdUx2w1Ec,05/21/03 17:10:00
10006,5nItNLfdwe4,01/21/11 04:32:00
10002,1l0nG-1SFVk,6/16/21 10:27:12
10003,TsqGSTIvnJk,05/21/02 01:57:00
10004,WpqUOW19aJQ,7/29/21 06:07:32
10005,VWuk4lk1mqQ,4/13/21 18:30:09
10006,WgaPJpyAB_0,02/21/07 00:55:00
10001,jBBnNLDtP00,11/21/12 11:16:00
10002,2PSRmK06YFk,5/23/21 08:39:19
10003,kCwMARo94QY,10/25/21 11:27:51
10004,jNyho0OvvUc,07/21/04 16:35:00
10005,0dBIkQ4Mz1M,10/21/11 19:09:00
10006,xxGya7dCqfI,09/21/08 06:05:00
10002,8dzGsnYKOS4,04/21/06 14:17:00
10003,TuPyVPdH814,10/21/08 01:22:00
10004,BB8o8-EdZY0,11/21/03 05:29:00
10005,wIIGCTIpRMk,6/15/21 04:47:31
10006,Qp2JEjH1i5Q,2/18/21 09:10:24
10002,C3MhNpO8gjo,06/21/04 18:18:00
10003,kC6a1yNEWj4,09/21/10 18:08:00
10004,k7yYOUOndsc,9/24/21 02:00:09
10005,qXqdi8LjtmY,12/21/05 13:29:00
10006,64NJSqHJIoA,08/21/03 21:44:00
10002,9YHrEFxLgko,01/21/04 17:24:00
10003,uxLOfjaWRvw,9/22/21 00:18:54
10004,AR7WdXCbulU,9/28/21 21:00:27
10005,QvcNVvtsnoY,12/18/21 07:27:52
10006,Z-dLdCXhapc,09/21/11 23:07:00
10002,SgR7Brr1pc4,03/21/02 00:12:00
10003,#NAME?,12/21/21 03:53:15
10004,SE34K88LUek,7/23/21 22:03:37
10001,8q1VGptW_oA,1/17/21 10:06:24
10001,w6jE3T_ooKw,09/21/04 10:34:00
10002,OrMGKrXafEo,05/21/12 06:27:00
10003,Hp7CtQhGKCs,08/21/05 10:40:00
10004,afAI_FvUcsY,5/24/21 00:00:54
10005,e4dGLn9sibA,07/21/06 09:48:00
