video_id,Title,channel_name,video_category,video_duration_secs,is_sponsored
oHSpDsMudcE,Fails You Missed: Toilet Or Bust! (March 2018) | FailArmy,FailArmy,23,451,FALSE
UW_xEqCWrm0,Falz - This Is Nigeria,FalzVEVO,10,504,FALSE
UddlsDsoIWs,Fastest Clapper in The World - Bonus Clip,The Slow Mo Guys,22,73,FALSE
DQLhUs7-dkM,First Take reacts to Charles Barkley and Shaquille O'Neal's coach-player debate | First Take | ESPN,ESPN,17,781,FALSE
jkiUKB6RwLw,Five Finger Death Punch - Sham Pain (AUDIO),5FDPVEVO,10,553,FALSE
SA7AIQw-7Ms,G-Eazy & Halsey - Him & I (Official Video),GEazyMusicVEVO,10,234,FALSE
5Blt_CJ29WQ,GOLD Mirror-Polished Japanese Foil Ball Challenge in a Vacuum Chamber!,The Action Lab,24,306,FALSE
S297Bixe5-g,Golden Globe Fashion Hits & Misses,Wendy Williams,24,1146,FALSE
iMaNOSsWBpA,Grey's Anatomy 14x20 Meredith Finds Out A Dirty History Of Jackson Grandpa,Celeb Interview,1,948,FALSE
YPZUkzgW_DQ,Gucci Mane - Solitaire feat. Migos & Lil Yachty [Official Audio],OfficialGucciMane,10,486,FALSE
ex_sBZXU6iU,H3 Podcast #42 - Philip DeFranco,H3 Podcast,24,960,TRUE
fUyU3lKzoio,"Hey Buddy, Can You Give Me a Hand?",BostonDynamics,28,827,FALSE
fUyU3lKzoio,"Hey Buddy, Can You Give Me a Hand?",BostonDynamics,28,1183,FALSE
72hlr-E7KA0,How Airlines Price Flights,Wendover Productions,27,917,FALSE
Jz50eTT6y8g,How I Made My Millions! (and so can you) ðŸ’°ðŸ’°ðŸ’°,PewDiePie,24,763,FALSE
ITQZ2OrIBNk,How to Make Plasma in Your Microwave ... With a Grape,SciShow,27,341,FALSE
Mej6I6AWOhk,I fixed YouTube Rewind,jacksfilms,23,1036,FALSE
w-2cd1MLYAw,If Things Had Correct Names,Reaction Time,24,184,FALSE
hMXMACGyeq4,Incredibly Advanced Secret Technology That They Said Did Not Exist,UAMN TV,27,191,FALSE
R9ZEdacTIa0,Is Roy Moore America's Oldest Prom Kingâ€? | The Daily Show,Comedy Central UK,23,496,FALSE
2fFMeWn0a8o,Is the Chevy Corvette Z06 Finally a Supercar?,Doug DeMuro,2,932,FALSE
kBbKITdm3Lk,Ishq Tamasha Episode #11 Promo HUM TV Drama,HUM TV,24,1169,FALSE
IA9132y01JI,"It's Showtime Miss Q & A: President Ganda faces the reigning queen, Lars Pacheco",ABS-CBN Entertainment,24,983,FALSE
o2_OS8yq3qs,"J Prince Talks Drake, Birdman, Being Investigated By The DEA + More In His New Memoir",Breakfast Club Power 105.1 FM,24,932,FALSE
ufynqs_COF4,J. Cole - Kevin's Heart,J. Cole,10,880,FALSE
xHljr_VuTJQ,Jimmy Gets Attacked by Robert Irwin's Anteater,The Tonight Show Starring Jimmy Fallon,23,827,FALSE
oobBudrItH0,JODIE - SIDE TO SIDE (Ariana Grande ft. Nicki Minaj) - Spekta Show Top 11 - Indonesian Idol 2018,Indonesian Idol,24,1026,FALSE
8Od-IMIGjfg,Johnny Knoxville Gets Smoked By Spicy Wings | Hot Ones,First We Feast,26,477,FALSE
GoJA8kpeIq8,"Juan For All, All For Juan Sugod Bahay | November 23, 2017",Eat Bulaga!,24,487,FALSE
rxO8QZAdkCY,"Justin Trudeau shuts down hecklers, orders them to leave",Global News,25,281,FALSE
6WIQPLl82ik,Kanye West Gets Slammed By TMZ Staffer | The Daily Show With Trevor Noah,Comedy Central UK,23,426,FALSE
_IiCh41jLnU,Khasara Episode 7 - 17th May 2018 - ARY Digital Drama,ARY Digital,24,167,FALSE
eS4rlDJ1aVQ,"KIDS DROP THEIR PHONES , THE REASON WHY , WILL SHOCK U! [MEME REVIEW] ðŸ‘ ðŸ‘ #14",PewDiePie,23,76,FALSE
7pbyoNwmcpc,Kill (Full Video) | Garry Sandhu | Vee Music | Latest Punjabi New Songs 2017 | Fresh Media Records,Fresh Media Records,10,1062,FALSE
Ehke7aPI9l0,"Kurt Angle & The Shield lead a Raw raid of SmackDown: SmackDown LIVE, Nov. 14, 2017",WWE,17,1126,FALSE
KCnKJbNSibA,"Laung Laachi: LOGO MUCHH DE Video Song (Full Song) Ammy Virk, Neeru Bajwa | Amrit Maan, Mannat Noor",T-Series Apna Punjab,10,1031,FALSE
SRtDMiHEljk,Live with Dr.Shahid Masood | 17-December-2017 | Nawaz Sharif | CJP | Hudaibiya Case |,NewsOne Pk,25,830,FALSE
iK7ROzfOW8k,LOGAN PAULS SISTER WANTS TO DO YOUTUBE,PewDiePie,24,1009,FALSE
GsGSOnAuTag,"Maple Leafs Morning Skate: Mike Babcock - March 26, 2018",Toronto Maple Leafs,17,317,FALSE
jzD_yyEcp0M,Marshmello & Anne-Marie - FRIENDS (Music Video) *OFFICIAL FRIENDZONE ANTHEM*,Marshmello,10,524,FALSE
3o_s7qNvt2U,MBETTEL - SAISON 2 - EPISODE 24,Okay.africa,24,46,FALSE
k_3rgt-h328,"McDavid, Oilers rout Golden Knights in 8-2 win",NHL,17,702,FALSE
p0XdUx2w1Ec,"Michael Avenatti Teases More Details About Michael Cohen, Alleged Meeting | Deadline | MSNBC",MSNBC,25,1018,FALSE
5nItNLfdwe4,Michael B. Jordan Barely Had a Social Life During 'Black Panther',TheEllenShow,24,636,FALSE
1l0nG-1SFVk,Michael J. Woodard Sings Beauty and the Beast - Disney Night - American Idol 2018 on ABC,American Idol,24,299,FALSE
TsqGSTIvnJk,MINECRAFT RAP PARODY â€¢ WRONG SIDE OF YOUTUBE,Cow Chop,20,448,FALSE
WpqUOW19aJQ,Model Rocket Battle | Dude Perfect,Dude Perfect,17,805,FALSE
VWuk4lk1mqQ,"More Clinton Connected FBI Agents Resign, Causes The Left To Panic",The Alex Jones Channel,25,290,FALSE
WgaPJpyAB_0,NERF Dodgeball Challenge!,Battle Universe!,24,511,FALSE
jBBnNLDtP00,NERF Stash Your Cash Challenge!,Battle Universe,24,925,FALSE
2PSRmK06YFk,NEW MOVIE TRAILERS 2018 | Weekly #21,FilmSelect Trailer,24,539,FALSE
kCwMARo94QY,O.J. Simpson Confesses to Murdering Nicole and Ron | TMZ News,TMZ,24,614,FALSE
jNyho0OvvUc,ON VA TEST LE NOUVEAU MODE DE JEU FORTNITE 5 EQUIPES DE 20 !!!,GameMixTreize,20,854,FALSE
0dBIkQ4Mz1M,PLUSH - Bad Unboxing Fan Mail,iDubbbzTV,23,402,FALSE
5Itq5lWfOVk,"Real Reason, Why Anthony Bourdain Took His Own Life.",Don-P News Channel,22,308,FALSE
otMtDZTHTu8,Rick at the University of Victoria,MercerReport,23,1016,FALSE
Ccp0sYNivJ4,Science Can't Explain This! (2018-2019),Jason A,25,195,FALSE
Dg427G4M74E,seth everman reacts to people reacting to seth everman,SethEverman,24,907,FALSE
VAiE2ec46vc,Sevilla vs Barcelona 2-2 - All Goals & Highlights - 31/3/2018 HD,Premium Sintesi,17,349,FALSE
Qp2JEjH1i5Q,"SNL cast talks Aziz Ansari, #MeToo in awkward dinner table conversation",Global News Online,22,1082,FALSE
C3MhNpO8gjo,Stephen Colbert Monologue (2/15/2018) Bernie Sanders crush Trump's budget,PaiinStudios,25,1134,FALSE
kC6a1yNEWj4,"Superhero Lawsuit | Rudy Mancuso, Anwar Jibawi, Inanna Sarkis & Jimmy Tatro",Rudy Mancuso,23,233,FALSE
k7yYOUOndsc,"Taarak Mehta Ka Ooltah Chashmah - Ep 2349 - Full Episode - 30th November, 2017",SAB TV,24,567,FALSE
qXqdi8LjtmY,"Taarak Mehta Ka Ooltah Chashmah - Ep 2369 - Full Episode - 28th December, 2017",SAB TV,24,86,FALSE
64NJSqHJIoA,"Taarak Mehta Ka Ooltah Chashmah - Ep 2424 - Full Episode - 15th March, 2018",SAB TV,24,958,FALSE
9YHrEFxLgko,Teenage Celebrity Crush (GAME),Good Mythical MORE,24,1088,FALSE
uxLOfjaWRvw,The $200 Smartphone You NEED To Know About...,Unbox Therapy,28,88,FALSE
AR7WdXCbulU,The 10th Annual Shorty Awards powered by DIRECTV NOW,Shorty Awards,24,76,FALSE
QvcNVvtsnoY,THE ART OF DIVING | HOW TO ALWAYS WIN FREE KICKS ft. JACK WHITEHALL,F2Freestylers - Ultimate Soccer Skills Channel,17,946,FALSE
Z-dLdCXhapc,The best hairstyle at lax,tonyvera1902,22,467,FALSE
SgR7Brr1pc4,The Big Fat Quiz Of Everything - 2018 Special CC,Nick From Fulham,23,887,FALSE
#NAME?,The Cast of RuPaul's Drag Race Review Drag in Movies | Vanity Fair,Vanity Fair,24,211,FALSE
SE34K88LUek,"The culture war between doctors and midwives, explained",Vox,25,1146,FALSE
8q1VGptW_oA,The Fastest WiFi I've Tested...,Unbox Therapy,28,199,TRUE
w6jE3T_ooKw,"The Gentleman's Path | Critical Role | Campaign 2, Episode 19",Geek & Sundry,24,194,TRUE
OrMGKrXafEo,The History Of Domics (ft. Domics) | A Brief History,FootofaFerret,24,88,FALSE
Hp7CtQhGKCs,The Onision Defense League,WildSpartanz,24,730,FALSE
afAI_FvUcsY,The Untold Truth Of Johnny Depp,Looper,24,988,FALSE
e4dGLn9sibA,The Worst Movies of 2017,Chris Stuckmann,24,456,FALSE
Xk_AQUnB8XY,"""it's impossible to dress warm AND cute."" dude, no. you're just layering wrong.",Kaiti Yoo,26,897,TRUE
R2r8qE2drnI,"""it's impossible to look chic when it's cold out."" dude, no. you're just dressing wrong.",Kaiti Yoo,26,36,TRUE
SrlaSAEZccA,"how to STILL look cute in the winter (no, you don't need to give up your skirts) HOW TO LAYER 101",Gigi MW,26,915,TRUE
pnF_4GY7qSE,30 BACK TO SCHOOL OUTFITS to seduce your crush without breaking dress code (ft. your suggestions),Kaiti Yoo,26,402,TRUE
KuXq9XIzpFY,NEW IN ZARA COME SHOPPING WITH ME & SALE TRY ON HAUL,Model Mouth,26,321,TRUE
cAMyCplQvoY,NEW IN ZARA TRY ON HAUL | Kate Hutchins,Kate Hutchins,26,173,FALSE
sf7NfCe3_5Y,Euphoria's Sydney Sweeney’s Guide to Sensitive Skin Care and Soft Glam | Beauty Secrets | Vogue,Vogue,26,752,FALSE
UxQg3_Cmwhw,Euphoria’s Alexa Demie Shares Her ’90s Glam Tutorial | Beauty Secrets | Vogue,Vogue,26,330,FALSE
ynLbBP15IAI,"WHAT I WORE THIS WEEK | SHEIN, ZARA, H&M, PIXIE MARKET, VALENTINO, FENDI, YSL, + MORE",Marrissa Breann,26,842,FALSE
P3wZ85Wq1pU,"MY 2022 LUXURY WISHLIST | CHANEL, GUCCI, DIOR, FENDI, CELINE, JIMMY CHOO, YSL, VALENTINO + MORE",Marrissa Breann,26,1200,TRUE
jz04KzJg8EU,thrifting my WINTER Pinterest board (my best thrift finds EVER) + try on thrift haul,scrivspo,26,1025,FALSE
xxGya7dCqfI,"""I look bad in everything I wear."" dude, no. you're just not dressing for YOUR body type.",Kaiti Yoo,26,274,FALSE
8dzGsnYKOS4,I TRIED A CAPSULE WARDROBE FOR 30 DAYS,bestdressed,26,908,FALSE
TuPyVPdH814,the ultimate guide to closet essentials,bestdressed,26,606,FALSE
BB8o8-EdZY0,I counted everything I own as a minimalist.,Matt D'Avella,22,335,TRUE
wIIGCTIpRMk,10 small changes that will improve your life.,Matt D'Avella,22,1085,FALSE
